Path ID,Path Name,Master Mode,Typical Trigger,Phases (Count),Active Phases,Primary Form Unlocks (CA or state),Forms/Actions Disabled,Key Guardrails,Reclassification Triggers,Required Settlement-Trail Events,Primary Acceptance Scenario
PTH-12,Minor / Incapacitated Beneficiaries (Overlay),Fiduciary-Administered,minor/incapacitated beneficiary detected,4+,6 modified,blocked account / guardianship task artifacts,direct distribution to minor,distribution lock; court approval/blocked account tasks,minor turns 18; guardianship order uploaded,OVERLAY ADDED; RESTRICTED DISTRIBUTION; COURT APPROVAL REQUIRED,Minor heir present → verify distribution lock + escrow tasks
PTH-13,"Small Estate Affidavit (CA ≤ $184,500)",Transfer-Only,probate estate ≤ threshold,3,"1,3,6 (plus transfers)","DE-310 (if used), affidavit instructions",DE-111/150/160,threshold verification; reclassification watch,new asset discovered; valuation update crosses threshold,PATH SELECTED; THRESHOLD VERIFIED; COURT TASKS REMOVED,CA small estate → later discover brokerage pushes > threshold
PTH-14,Joint Tenancy / Survivorship Transfer,Transfer-Only,asset ownership = JTWROS / survivorship,3,"1,3,5",death certificate + institution transfer docs,probate petitions for that asset,proof of survivorship; title update tracking,ownership dispute; non-joint asset discovered,PATH SELECTED; SURVIVORSHIP TRANSFER TRACK ENABLED,Joint real property transfer: verify recorder steps
PTH-15,POD / TOD Transfer,Transfer-Only,beneficiary designations on bank/brokerage,3,"1,3,5",institution claim package artifacts,court authority forms,beneficiary claim checklists; follow-up timers,beneficiary missing/contest; account not actually TOD,PATH SELECTED; BENEFICIARY TRANSFER TRACK ENABLED,Bank POD claim: ensure institution-specific steps
PTH-16,Beneficiary-Designated Insurance / Retirement,Transfer-Only,life insurance / IRA / 401k beneficiary,3,"1,3,5",claim forms; plan administrator packets,probate forms for those assets,required claim docs; tax prompts; timing reminders,beneficiary dispute; missing designation,PATH SELECTED; BENEFICIARY ASSET TRACK ENABLED; TAX PROMPTS ADDED,401k beneficiary claim + required docs checklist
PTH-17,Transfer-on-Death Deed (Real Estate),Transfer-Only,TOD deed exists for real property,3,"1,3,5",TOD deed recording checklist,probate for that property,recording deadlines; title update evidence,TOD deed invalid; contest; ancillary overlay,PATH SELECTED; TOD DEED TRACK ENABLED; RECORDING TASKS ADDED,CA TOD deed: verify recorder tasks + evidence uploads
PTH-18,Unclaimed Property Recovery,Transfer-Only,unclaimed property search yields hits,3,"3,5,6",state registry proof; claim packets,premature closure,evidence of search; claim follow-ups,new unclaimed asset found; claim rejected,PATH SELECTED; UNCLAIMED PROPERTY TASKS ENABLED; SEARCH LOGGED,State unclaimed search task: log negative/positive results
PTH-19,Escheat / Dormant Asset Risk,Transfer-Only,dormant accounts / escheat risk detected,3,"3,5,6",pre-escheat response artifacts,ignore notices,deadline reminders; escalation,escheat notice received,RISK FLAGGED; ESCHEAT DEADLINE TRACKING ENABLED,Dormant bank sends notice → follow-up + evidence
PTH-20,Elective Share / Spousal Election (Overlay),Court-Supervised,spouse asserts statutory election,6+,"2,6 modified",election notice artifacts,automatic distribution per will,distribution lock until resolved; attorney escalation,election withdrawn/resolved,OVERLAY ADDED; SPOUSAL ELECTION FLAGGED; DISTRIBUTION LOCKED,Will leaves little to spouse → election asserted
PTH-21,Heirship / Unknown Heirs Discovery,Court-Supervised,unknown heirs / genealogical search required,6,1-6,heirship declarations; notice proofs,distribution without heir confirmation,heir search checklist; notices; locks,new heir discovered; dispute,PATH SELECTED; HEIRSHIP DISCOVERY ENABLED; NOTICES TRACKED,Unknown heirs → publish/notice tracking + lock distribution
